Success : RANDOM_READ : test2\1a7683b6645f9b6a,157:7325,2016-12-12 11:12:55-042,2016-12-12 11:12:55-202
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:12:55-297,2016-12-12 11:12:55-411
Success : RANDOM_READ : test1\f71b43c3136efa4f\9f93e73d6896cb7b\6670af231c096f09,0:129,2016-12-12 11:12:55-521,2016-12-12 11:12:55-613
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:12:55-705,2016-12-12 11:12:55-773
Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-12 11:12:55-900,2016-12-12 11:12:55-996
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\1AC5E7AC4C9BA5DD,0:1790740,2016-12-12 11:12:56-087,2016-12-12 11:12:57-641
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:12:57-728,2016-12-12 11:12:57-809
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\0FF8212141EAF4F8,0:3320180,2016-12-12 11:12:57-912,2016-12-12 11:13:01-659
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:01-779,2016-12-12 11:13:01-862
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\7659126237D75DAA,0:3860250,2016-12-12 11:13:01-945,2016-12-12 11:13:05-576
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:05-702,2016-12-12 11:13:05-782
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-12 11:13:05-859,2016-12-12 11:13:05-922
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:06-042,2016-12-12 11:13:06-125
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:06-251,2016-12-12 11:13:06-329
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\618B36A116675B1E,0:1298874,2016-12-12 11:13:06-450,2016-12-12 11:13:07-578
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:07-695,2016-12-12 11:13:07-802
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\3FAAE2F445DD14CA,0:2244409,2016-12-12 11:13:07-892,2016-12-12 11:13:10-135
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:10-247,2016-12-12 11:13:10-356
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2D48B663253DF550,0:1316055,2016-12-12 11:13:10-449,2016-12-12 11:13:11-492
Success : RANDOM_READ : test2\bc9c8ba7ff351f3e,117348:136804,2016-12-12 11:13:11-615,2016-12-12 11:13:11-692
Success : RANDOM_READ : test2\6c33a983eec1b409,506:506,2016-12-12 11:13:11-813,2016-12-12 11:13:11-915
Success : RANDOM_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\178db47a574c645f,0:257,2016-12-12 11:13:12-032,2016-12-12 11:13:12-101
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:13:12-217,2016-12-12 11:13:12-294
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:12-374,2016-12-12 11:13:12-472
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\5A60B8FD4FBC0DD8,0:3230644,2016-12-12 11:13:12-561,2016-12-12 11:13:15-706
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:15-799,2016-12-12 11:13:15-868
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\7B785AB47B952D44,0:789872,2016-12-12 11:13:15-963,2016-12-12 11:13:16-544
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:16-662,2016-12-12 11:13:16-744
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\4FBFA5B45C9026A5,0:1453685,2016-12-12 11:13:16-824,2016-12-12 11:13:17-890
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:13:18-014,2016-12-12 11:13:18-088
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-12 11:13:18-168,2016-12-12 11:13:18-243
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:18-324,2016-12-12 11:13:18-408
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\4882638036F070CB,0:1169635,2016-12-12 11:13:18-521,2016-12-12 11:13:20-021
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:20-143,2016-12-12 11:13:20-219
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\5A7677903DC6A3DD,0:1631735,2016-12-12 11:13:20-303,2016-12-12 11:13:21-591
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:13:21-732,2016-12-12 11:13:21-840
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\475B832F4BEA18C9,0:3568505,2016-12-12 11:13:21-928,2016-12-12 11:13:25-342
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:13:25-471,2016-12-12 11:13:25-580
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6349E5DC07BEA3B1,0:3197046,2016-12-12 11:13:25-685,2016-12-12 11:13:28-640
