Success : RANDOM_READ : test1\c5a5e5562b038073\7b7f22b30cf50087,1147:2171,2016-12-12 11:16:00-347,2016-12-12 11:16:00-495
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:16:00-580,2016-12-12 11:16:00-685
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-12 11:16:00-773,2016-12-12 11:16:00-890
Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-12 11:16:00-984,2016-12-12 11:16:01-061
Success : RANDOM_READ : test2\49f03965cf98b1f5,868:868,2016-12-12 11:16:01-146,2016-12-12 11:16:01-229
Fail : LS : test1,0:-1,2016-12-12 11:16:01-306,2016-12-12 11:16:01-306
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-12 11:16:01-386,2016-12-12 11:16:01-457
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\0E7A3FFF7DE7CE99,0:2251525,2016-12-12 11:16:01-547,2016-12-12 11:16:03-795
Success : RANDOM_READ : test2\6c33a983eec1b409,193:2241,2016-12-12 11:16:03-918,2016-12-12 11:16:04-027
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-12 11:16:04-124,2016-12-12 11:16:04-243
Success : RANDOM_READ : test1\f71b43c3136efa4f\83404ffd78f534ff\6670af231c096f09,0:129,2016-12-12 11:16:04-335,2016-12-12 11:16:04-446
Fail : LS : test1,0:-1,2016-12-12 11:16:04-542,2016-12-12 11:16:04-542
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : RANDOM_READ : test1\9832710c94f11d2b,14650139:14675739,2016-12-12 11:16:04-668,2016-12-12 11:16:04-751
Fail : LS : test1,0:-1,2016-12-12 11:16:04-837,2016-12-12 11:16:04-837
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:04-959,2016-12-12 11:16:05-219
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\70559CC050E65E7C,0:3967538,2016-12-12 11:16:05-306,2016-12-12 11:16:12-096
Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-12 11:16:12-291,2016-12-12 11:16:12-361
Success : RANDOM_READ : test2\a94a8fe5ccb19ba6\4b6fcb2d521ef0fd,349:349,2016-12-12 11:16:12-447,2016-12-12 11:16:12-531
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:16:12-614,2016-12-12 11:16:12-695
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\164E043E68FD6A06,0:3858662,2016-12-12 11:16:12-770,2016-12-12 11:16:16-644
