Success : RANDOM_READ : test2\49f03965cf98b1f5,749:749,2016-12-12 11:43:41-368,2016-12-12 11:43:41-541
Success : RANDOM_READ : test2\bc9c8ba7ff351f3e,92619:102859,2016-12-12 11:43:41-658,2016-12-12 11:43:41-733
Success : SEQ_READ : test2\1a7683b6645f9b6a,2077:12317,2016-12-12 11:43:41-814,2016-12-12 11:43:41-890
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-12 11:43:42-007,2016-12-12 11:43:42-096
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-12 11:43:42-175,2016-12-12 11:43:42-240
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\09711C1C367787B0,0:591113,2016-12-12 11:43:42-342,2016-12-12 11:43:43-121
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:43:43-208,2016-12-12 11:43:43-305
Success : RANDOM_READ : test2\1a7683b6645f9b6a,947:12211,2016-12-12 11:43:43-385,2016-12-12 11:43:43-445
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:43:43-543,2016-12-12 11:43:43-611
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\41288c58009f7f6a,0:477,2016-12-12 11:43:43-720,2016-12-12 11:43:43-788
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:43:43-908,2016-12-12 11:43:43-980
Success : SEQ_READ : test1\c5a5e5562b038073\0189424a5a60fed3\46a8219c2ae6c782,453575:1345479,2016-12-12 11:43:44-056,2016-12-12 11:43:44-168
Success : SEQ_READ : test1\c5a5e5562b038073\fbe0d7653f0909cb,674:674,2016-12-12 11:43:44-292,2016-12-12 11:43:44-361
Success : SEQ_READ : test1\c5a5e5562b038073\3c16ab634e85296e,6226:29778,2016-12-12 11:43:44-463,2016-12-12 11:43:44-526
Success : RANDOM_READ : test1\f71b43c3136efa4f\83404ffd78f534ff\6670af231c096f09,0:129,2016-12-12 11:43:44-603,2016-12-12 11:43:44-698
Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-12 11:43:44-796,2016-12-12 11:43:44-867
Success : SEQ_READ : test2\6c33a983eec1b409,707:707,2016-12-12 11:43:44-942,2016-12-12 11:43:45-045
Success : RANDOM_READ : test1\c5a5e5562b038073\05d1f0ed74e78555,7089:41905,2016-12-12 11:43:45-139,2016-12-12 11:43:45-401
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:43:45-500,2016-12-12 11:43:45-598
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:43:45-725,2016-12-12 11:43:45-807
Success : SEQ_READ : test2\acde102dac5bbe15,1390:2414,2016-12-12 11:43:45-913,2016-12-12 11:43:45-989
Fail : LS : test1,0:-1,2016-12-12 11:43:46-072,2016-12-12 11:43:46-072
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:43:46-154,2016-12-12 11:43:46-239
Success : RANDOM_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\f398de59988a85e5,1152:4224,2016-12-12 11:43:46-315,2016-12-12 11:43:46-376
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\13958A1D265B1258,0:3752200,2016-12-12 11:43:46-452,2016-12-12 11:43:50-488
Success : RANDOM_READ : test2\8da7cc13802eefe0,155900:203004,2016-12-12 11:43:50-615,2016-12-12 11:43:50-726
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:43:50-849,2016-12-12 11:43:50-946
