Success : SEQ_READ : test2\a94a8fe5ccb19ba6\4b6fcb2d521ef0fd,0:2291,2016-12-13 12:25:59-186,2016-12-13 12:25:59-351
Success : LS : test1\f71b43c3136efa4f\52481749c0cdecd6\,0:-1,2016-12-13 12:25:59-451,2016-12-13 12:25:59-560
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:25:59-687,2016-12-13 12:25:59-850
Success : LS : test1\f71b43c3136efa4f\c7d9912886e5ccc7\,0:-1,2016-12-13 12:25:59-948,2016-12-13 12:26:00-023
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:00-107,2016-12-13 12:26:00-175
Success : SEQ_READ : test1\c5a5e5562b038073\6670af231c096f09,0:46,2016-12-13 12:26:00-253,2016-12-13 12:26:00-315
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\0E6EAD5B19477E62,0:1185192,2016-12-13 12:26:00-414,2016-12-13 12:26:01-002
Success : SEQ_READ : test2\8da7cc13802eefe0,0:22987191,2016-12-13 12:26:01-130,2016-12-13 12:26:03-110
Success : SEQ_READ : test2\49f03965cf98b1f5,0:1634,2016-12-13 12:26:03-192,2016-12-13 12:26:03-259
Success : SEQ_READ : test1\f71b43c3136efa4f\83404ffd78f534ff\6670af231c096f09,0:129,2016-12-13 12:26:03-357,2016-12-13 12:26:03-452
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:03-544,2016-12-13 12:26:03-663
Success : SEQ_READ : test2\bc9c8ba7ff351f3e,0:217984,2016-12-13 12:26:03-759,2016-12-13 12:26:03-839
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:03-942,2016-12-13 12:26:04-056
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:04-155,2016-12-13 12:26:04-241
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\12F96D893233A552,0:1984783,2016-12-13 12:26:04-349,2016-12-13 12:26:05-673
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-13 12:26:05-804,2016-12-13 12:26:05-910
Success : SEQ_READ : test1\c5a5e5562b038073\738537f9a40e568b,0:17984,2016-12-13 12:26:06-023,2016-12-13 12:26:06-096
Success : SEQ_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\4a90c52e52d54ede,0:1048,2016-12-13 12:26:06-178,2016-12-13 12:26:06-244
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:06-323,2016-12-13 12:26:06-426
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-13 12:26:06-535,2016-12-13 12:26:06-621
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:06-723,2016-12-13 12:26:06-824
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\30679034101970A1,0:3073762,2016-12-13 12:26:06-906,2016-12-13 12:26:09-319
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-13 12:26:09-445,2016-12-13 12:26:09-562
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\75F822FC54D9995D,0:2836059,2016-12-13 12:26:09-660,2016-12-13 12:26:12-451
Fail : LS : test1,0:-1,2016-12-13 12:26:12-551,2016-12-13 12:26:12-552
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -1
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-13 12:26:12-656,2016-12-13 12:26:12-731
Fail : LS : test1,0:-1,2016-12-13 12:26:12-810,2016-12-13 12:26:12-810
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -1
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:12-887,2016-12-13 12:26:12-988
Success : SEQ_READ : test1\c5a5e5562b038073\7b7f22b30cf50087,0:3126,2016-12-13 12:26:13-068,2016-12-13 12:26:13-147
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-13 12:26:13-252,2016-12-13 12:26:13-392
