Success : SEQ_READ : test1\f71b43c3136efa4f\83404ffd78f534ff\6670af231c096f09,0:129,2016-12-14 13:41:23-789,2016-12-14 13:41:23-953
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:41:24-080,2016-12-14 13:41:24-192
Success : SEQ_READ : test2\a94a8fe5ccb19ba6\4b6fcb2d521ef0fd,0:2291,2016-12-14 13:41:24-307,2016-12-14 13:41:24-383
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\4EAFF2A91F0486B9,0:1540832,2016-12-14 13:41:24-507,2016-12-14 13:41:25-977
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:41:26-104,2016-12-14 13:41:26-203
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\3DD46842092767E8,0:2333121,2016-12-14 13:41:26-340,2016-12-14 13:41:28-226
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:41:28-345,2016-12-14 13:41:28-425
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\7451F44E40083EEB,0:2119399,2016-12-14 13:41:28-541,2016-12-14 13:41:30-578
Success : SEQ_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\254d76d2609fec03,0:2291,2016-12-14 13:41:30-703,2016-12-14 13:41:30-803
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:41:30-899,2016-12-14 13:41:31-009
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:41:31-116,2016-12-14 13:41:31-188
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:41:56-934,2016-12-14 13:41:57-401
Success : SEQ_READ : test2\49f03965cf98b1f5,0:1634,2016-12-14 13:41:57-537,2016-12-14 13:41:57-632
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\051248E44C295C94,0:3113623,2016-12-14 13:42:07-967,2016-12-14 13:42:10-749
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:42:10-870,2016-12-14 13:42:11-365
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:42:17-530,2016-12-14 13:42:17-596
Success : SEQ_READ : test1\c5a5e5562b038073\6670af231c096f09,0:46,2016-12-14 13:42:41-834,2016-12-14 13:42:41-906
Success : LS : test1\f71b43c3136efa4f\83404ffd78f534ff\,0:-1,2016-12-14 13:43:11-700,2016-12-14 13:43:11-780
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:43:29-788,2016-12-14 13:43:29-864
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-14 13:43:43-952,2016-12-14 13:43:44-026
Success : LS : test1\c5a5e5562b038073\0189424a5a60fed3\,0:-1,2016-12-14 13:43:44-274,2016-12-14 13:43:44-368
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-14 13:43:53-412,2016-12-14 13:43:53-534
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\78C93F5562C96083,0:2905073,2016-12-14 13:44:49-077,2016-12-14 13:44:51-603
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:44:51-720,2016-12-14 13:44:51-812
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\559BD93650BA3181,0:919635,2016-12-14 13:45:56-124,2016-12-14 13:45:56-621
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-14 13:45:56-703,2016-12-14 13:45:56-799
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:45:56-922,2016-12-14 13:45:57-022
Success : SEQ_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\41288c58009f7f6a,0:477,2016-12-14 13:46:09-294,2016-12-14 13:46:09-357
Fail : LS : test1,0:-1,2016-12-14 13:46:11-241,2016-12-14 13:46:11-243
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -1
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\7A841DA33B121A35,0:1607646,2016-12-14 13:46:14-134,2016-12-14 13:46:15-314
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:46:15-434,2016-12-14 13:46:15-532
