Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\70EC4D3133CAAD28,0:4053259,2016-12-14 13:47:47-240,2016-12-14 13:47:51-036
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:47:51-154,2016-12-14 13:47:51-267
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\00EE343977ECF71A,0:1036646,2016-12-14 13:47:51-362,2016-12-14 13:47:51-836
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:47:51-961,2016-12-14 13:47:52-039
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\7CA231870AFB5AB6,0:1858706,2016-12-14 13:47:52-139,2016-12-14 13:47:53-507
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:47:53-603,2016-12-14 13:47:53-673
Success : SEQ_READ : test1\c5a5e5562b038073\a39ea9c72a98de10\11562aa867a5f398,0:2752,2016-12-14 13:47:53-755,2016-12-14 13:47:53-839
Success : SEQ_READ : test2\49f03965cf98b1f5,0:1634,2016-12-14 13:47:53-947,2016-12-14 13:47:54-041
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:47:54-132,2016-12-14 13:47:54-241
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\33D858FB3CA260EB,0:3964847,2016-12-14 13:47:54-355,2016-12-14 13:47:58-161
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:47:58-289,2016-12-14 13:47:58-365
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\2460393D07B03A39,0:2966839,2016-12-14 13:47:58-491,2016-12-14 13:48:01-353
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:48:01-480,2016-12-14 13:48:01-554
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:49:17-212,2016-12-14 13:49:17-318
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\0D3BE53873E12369,0:3765554,2016-12-14 13:49:20-823,2016-12-14 13:49:24-292
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:49:24-418,2016-12-14 13:49:24-783
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\3E8902CC4C8B236B,0:1588158,2016-12-14 13:50:13-975,2016-12-14 13:50:15-139
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:50:15-264,2016-12-14 13:50:15-361
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-14 13:50:17-252,2016-12-14 13:50:17-341
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\78332D1F7FB2E57A,0:1583710,2016-12-14 13:50:39-110,2016-12-14 13:50:40-321
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:50:40-439,2016-12-14 13:50:40-517
Success : LS : test1\f71b43c3136efa4f\,0:-1,2016-12-14 13:50:59-937,2016-12-14 13:51:00-010
Success : SEQ_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3eef580036f1724a,0:257,2016-12-14 13:51:24-705,2016-12-14 13:51:24-778
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3D68855D039BAAAA,0:3578314,2016-12-14 13:51:32-414,2016-12-14 13:51:35-603
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:51:35-690,2016-12-14 13:51:35-763
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-14 13:51:35-893,2016-12-14 13:51:35-962
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6B861DAE66CD0828,0:1278945,2016-12-14 13:51:42-801,2016-12-14 13:51:43-716
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:51:43-840,2016-12-14 13:51:43-950
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\5D90A8916858D7B7,0:2587434,2016-12-14 13:52:45-312,2016-12-14 13:52:47-652
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-14 13:52:47-733,2016-12-14 13:52:47-806
